epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.4509,1.30983,1.72446,1.42066,0.81052,0.60104,0.64406,0.34334,1.56767,1.29914,1.51445,0.000475331,0.000475331,0.000475331
2,150.75,1.23513,1.11984,1.32949,0.64023,0.51767,0.58261,0.32421,1.52638,1.10268,1.46281,0.000932821,0.000932821,0.000932821
3,215.134,1.23173,0.99394,1.33106,0.71734,0.60143,0.66066,0.39008,1.39133,0.89638,1.39525,0.00137145,0.00137145,0.00137145
4,279.183,1.1973,0.92939,1.3029,0.66985,0.62598,0.6436,0.38667,1.38226,0.812,1.40077,0.00134412,0.00134412,0.00134412
5,346.732,1.17846,0.89062,1.29333,0.69709,0.65514,0.67713,0.40178,1.36652,0.79171,1.37197,0.00131582,0.00131582,0.00131582
6,417.304,1.14465,0.8468,1.27043,0.77052,0.65302,0.72302,0.42462,1.42597,0.76146,1.42453,0.00128753,0.00128753,0.00128753
7,491.478,1.14131,0.81703,1.26518,0.72041,0.60455,0.66686,0.38126,1.47783,0.77974,1.46013,0.00125923,0.00125923,0.00125923
8,557.579,1.12079,0.79323,1.25239,0.73288,0.69576,0.7298,0.44218,1.33403,0.68027,1.34125,0.00123094,0.00123094,0.00123094
9,623.343,1.10948,0.77239,1.24121,0.8889,0.68179,0.75807,0.47355,1.32738,0.66581,1.34678,0.00120265,0.00120265,0.00120265
10,686.692,1.09809,0.76211,1.23645,0.81483,0.70739,0.74994,0.44935,1.37037,0.66694,1.3837,0.00117435,0.00117435,0.00117435
11,743.767,1.09304,0.74419,1.23684,0.8641,0.72799,0.79252,0.48887,1.33095,0.62434,1.358,0.00114606,0.00114606,0.00114606
12,805.247,1.06932,0.72214,1.21702,0.78093,0.73336,0.76017,0.45958,1.34837,0.64401,1.37458,0.00111776,0.00111776,0.00111776
13,866.783,1.06857,0.71372,1.21455,0.83705,0.64308,0.73069,0.44506,1.33329,0.63248,1.35575,0.00108947,0.00108947,0.00108947
14,925.462,1.06264,0.69939,1.21476,0.84022,0.64845,0.74789,0.44489,1.41665,0.64475,1.41447,0.00106118,0.00106118,0.00106118
15,983.955,1.05374,0.69482,1.21496,0.81176,0.72749,0.78734,0.47599,1.36287,0.62264,1.37715,0.00103288,0.00103288,0.00103288
16,1042.54,1.0517,0.67771,1.20981,0.76023,0.7026,0.71865,0.4512,1.30023,0.62242,1.32197,0.00100459,0.00100459,0.00100459
17,1100.94,1.0544,0.67404,1.21105,0.77046,0.69681,0.74723,0.45284,1.37478,0.62655,1.40294,0.000976293,0.000976293,0.000976293
18,1159.87,1.03973,0.66635,1.19923,0.87692,0.77201,0.83325,0.51962,1.28017,0.57934,1.32038,0.000947999,0.000947999,0.000947999
19,1221.03,1.03333,0.65879,1.18929,0.86314,0.75193,0.81277,0.49943,1.33147,0.57268,1.36329,0.000919704,0.000919704,0.000919704
20,1293.86,1.02538,0.65586,1.19362,0.86338,0.74819,0.81319,0.48783,1.36231,0.58002,1.38472,0.00089141,0.00089141,0.00089141
21,1376.89,1.02254,0.64211,1.1839,0.85054,0.74254,0.79119,0.47445,1.35003,0.5821,1.38569,0.000863116,0.000863116,0.000863116
22,1458.6,1.00414,0.63712,1.1819,0.84253,0.76495,0.8134,0.50332,1.30978,0.55964,1.33449,0.000834822,0.000834822,0.000834822
23,1520.85,1.01611,0.64115,1.18213,0.77823,0.78355,0.80874,0.49823,1.34076,0.56338,1.36329,0.000806528,0.000806528,0.000806528
24,1594.69,1.00709,0.62154,1.17663,0.84578,0.73851,0.79439,0.48758,1.32988,0.56305,1.36004,0.000778233,0.000778233,0.000778233
25,1652.43,0.99329,0.61868,1.17078,0.81807,0.75772,0.81485,0.5153,1.29998,0.5407,1.33092,0.000749939,0.000749939,0.000749939
26,1710.23,1.00039,0.61351,1.17065,0.83128,0.77969,0.81148,0.50807,1.2989,0.543,1.33385,0.000721645,0.000721645,0.000721645
27,1770.32,0.9837,0.60021,1.1654,0.8253,0.77266,0.80957,0.49372,1.34965,0.55828,1.38312,0.000693351,0.000693351,0.000693351
28,1833.66,0.97935,0.59535,1.16047,0.8097,0.81388,0.83189,0.5151,1.32189,0.55579,1.36058,0.000665057,0.000665057,0.000665057
29,1910.23,0.98113,0.58702,1.15835,0.79867,0.80799,0.81416,0.50525,1.29591,0.52723,1.33657,0.000636762,0.000636762,0.000636762
30,1971.93,0.97425,0.58574,1.1599,0.78942,0.78959,0.80748,0.49907,1.31527,0.54572,1.34954,0.000608468,0.000608468,0.000608468
31,2032.44,0.97187,0.57731,1.15604,0.90838,0.80103,0.86003,0.53887,1.28329,0.53143,1.31807,0.000580174,0.000580174,0.000580174
32,2092.74,0.96667,0.57918,1.15659,0.80241,0.84343,0.85042,0.53345,1.29123,0.52418,1.34499,0.00055188,0.00055188,0.00055188
33,2168.65,0.96391,0.57053,1.1515,0.79167,0.82892,0.83783,0.52282,1.30535,0.52584,1.34703,0.000523586,0.000523586,0.000523586
34,2249.9,0.9574,0.56554,1.14589,0.81033,0.78375,0.82979,0.52276,1.28914,0.52386,1.33645,0.000495291,0.000495291,0.000495291
35,2320.26,0.94168,0.55366,1.14097,0.84859,0.78622,0.83385,0.51548,1.32199,0.527,1.36456,0.000466997,0.000466997,0.000466997
36,2379.4,0.94699,0.55258,1.13995,0.85926,0.80011,0.84559,0.52466,1.30159,0.51766,1.34446,0.000438703,0.000438703,0.000438703
37,2438.12,0.95074,0.55174,1.14063,0.83851,0.76431,0.83623,0.53089,1.28917,0.51655,1.32039,0.000410409,0.000410409,0.000410409
38,2496.49,0.93851,0.54405,1.13339,0.8624,0.7846,0.84379,0.53271,1.29553,0.51059,1.32782,0.000382115,0.000382115,0.000382115
